Location,Site,Row,Column,BroadLeaf
RS,RS031,2,3,1
RS,RS031,2,4,0
RS,RS031,2,5,0
RS,RS031,2,6,0
RS,RS031,2,7,0
RS,RS031,3,0,0
RS,RS031,3,1,0
RS,RS031,3,2,0
RS,RS031,3,3,0
RS,RS031,3,4,0
RS,RS031,3,5,0
RS,RS031,3,6,0
RS,RS031,3,7,0
RS,RS032,1,0,0
RS,RS032,1,1,0
RS,RS032,1,2,0
RS,RS032,1,3,0
RS,RS032,1,4,0
RS,RS032,1,5,0
RS,RS032,1,6,1
RS,RS032,1,7,0
RS,RS032,2,0,0
RS,RS032,2,1,0
RS,RS032,2,2,0
RS,RS032,2,3,0
RS,RS032,2,4,0
RS,RS032,2,5,0
RS,RS032,2,6,1
RS,RS032,2,7,0
RS,RS032,3,0,0
RS,RS032,3,1,0
RS,RS032,3,2,0
RS,RS032,3,3,0
RS,RS032,3,4,0
RS,RS032,3,5,0
RS,RS032,3,6,0
RS,RS032,3,7,0
RS,RS033,1,0,0
RS,RS033,1,1,0
RS,RS033,1,2,0
RS,RS033,1,3,0
RS,RS033,1,4,0
RS,RS033,1,5,0
RS,RS033,1,6,1
RS,RS033,1,7,0
RS,RS033,2,0,0
RS,RS033,2,1,0
RS,RS033,2,2,0
RS,RS033,2,3,0
RS,RS033,2,4,0
RS,RS033,2,5,0
RS,RS033,2,6,0
RS,RS033,2,7,0
RS,RS033,3,0,0
RS,RS033,3,1,0
RS,RS033,3,2,0
RS,RS033,3,3,0
RS,RS033,3,4,0
RS,RS033,3,5,0
RS,RS033,3,6,0
RS,RS033,3,7,0
RS,RS034,1,0,0
RS,RS034,1,1,1
RS,RS034,1,2,0
RS,RS034,1,3,1
RS,RS034,1,4,0
RS,RS034,1,5,0
RS,RS034,1,6,0
RS,RS034,1,7,0
RS,RS034,2,0,0
RS,RS034,2,1,0
RS,RS034,2,2,0
RS,RS034,2,3,1
RS,RS034,2,4,0
RS,RS034,2,5,0
RS,RS034,2,6,0
RS,RS034,2,7,0
RS,RS034,3,0,0
RS,RS034,3,1,0
RS,RS034,3,2,0
RS,RS034,3,3,1
RS,RS034,3,4,1
RS,RS034,3,5,0
RS,RS034,3,6,0
RS,RS034,3,7,0
RS,RS035,1,0,1
RS,RS035,1,1,9
RS,RS035,1,2,0
RS,RS035,1,3,0
RS,RS035,1,4,1
RS,RS035,1,5,0
RS,RS035,1,6,0
RS,RS035,1,7,0
RS,RS035,2,0,1
RS,RS035,2,1,9
RS,RS035,2,2,0
RS,RS035,2,3,0
RS,RS035,2,4,1
RS,RS035,2,5,0
RS,RS035,2,6,0
RS,RS035,2,7,1
RS,RS035,3,0,1
RS,RS035,3,1,9
RS,RS035,3,2,0
RS,RS035,3,3,0
RS,RS035,3,4,0
RS,RS035,3,5,0
RS,RS035,3,6,0
RS,RS035,3,7,1
RS,RS036,1,0,0
RS,RS036,1,1,0
RS,RS036,1,2,0
RS,RS036,1,3,0
RS,RS036,1,4,1
RS,RS036,1,5,1
RS,RS036,1,6,1
RS,RS036,1,7,1
RS,RS036,2,0,0
RS,RS036,2,1,0
RS,RS036,2,2,0
RS,RS036,2,3,0
RS,RS036,2,4,1
RS,RS036,2,5,1
RS,RS036,2,6,9
RS,RS036,2,7,1
RS,RS036,3,0,0
RS,RS036,3,1,0
RS,RS036,3,2,0
RS,RS036,3,3,0
RS,RS036,3,4,9
RS,RS036,3,5,9
RS,RS036,3,6,9
RS,RS036,3,7,1
RS,RS037,1,0,0
RS,RS037,1,1,0
RS,RS037,1,2,0
RS,RS037,1,3,0
RS,RS037,1,4,0
RS,RS037,1,5,0
RS,RS037,1,6,0
RS,RS037,1,7,1
RS,RS037,2,0,0
RS,RS037,2,1,1
RS,RS037,2,2,1
RS,RS037,2,3,1
RS,RS037,2,4,1
RS,RS037,2,5,0
RS,RS037,2,6,0
RS,RS037,2,7,1
RS,RS037,3,0,1
RS,RS037,3,1,0
RS,RS037,3,2,0
RS,RS037,3,3,0
